T final =45.0, Filters Used 2 Grad-div 0

 Time, StepSize, FilterUsed, NormU, NormP ,NormUExact, NormPExact, Uerror, Perror
1e-06,1e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
3e-06,2e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
7e-06,4e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
1.5e-05,8e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
3.1e-05,1.6e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
6.3e-05,3.2e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000127,6.4e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000255,0.000128,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000511,0.000256,1,0.0,0.0,0.0,0.0,0.0,0.0
0.001023,0.000512,1,0.0,0.0,0.0,0.0,0.0,0.0
0.002047,0.001024,1,0.0,0.0,0.0,0.0,0.0,0.0
0.004095,0.002048,1,0.0,0.0,0.0,0.0,0.0,0.0
0.008191,0.004096,1,0.0,0.0,0.0,0.0,0.0,0.0
0.016383,0.008192,1,0.0,0.0,0.0,0.0,0.0,0.0
0.032767,0.016384,1,0.0,0.0,0.0,0.0,0.0,0.0
0.065535,0.032768,1,0.0,0.0,0.0,0.0,0.0,0.0
0.131071,0.065536,1,0.0,0.0,0.0,0.0,0.0,0.0
0.262143,0.131072,1,0.0,0.0,0.0,0.0,0.0,0.0
0.524287,0.262144,1,0.0,0.0,0.0,0.0,0.0,0.0
1.048575,0.524288,1,0.0,0.0,0.0,0.0,0.0,0.0
2.097151,1.048576,1,0.0,0.0,0.0,0.0,0.0,0.0
4.194303,2.097152,1,0.0,0.0,0.0,0.0,0.0,0.0
8.388607,4.194304,1,0.0,0.0,0.0,0.0,0.0,0.0
8.7043528466,0.315745846596,1,0.0,0.0,0.0,0.0,0.0,0.0
8.90810188591,0.203749039317,1,0.0,0.0,0.0,0.0,0.0,0.0
9.00567362216,0.0975717362464,1,0.0,0.0,0.0,0.0,0.0,0.0
9.0615631705,0.0558895483418,1,9.899648480304073e-53,9.642937176705681e-58,1.2932202156695153e-55,1.3238848564745957e-111,9.886716258899408e-53,9.64293717670568e-58
9.06847433589,0.00691116538807,1,1.2032718977071338e-17,6.576450278080588e-22,3.039400363760215e-19,7.312755730657473e-39,1.1728778488319507e-17,6.576450278080587e-22
9.08229666667,0.0138223307761,1,0.027462449541962225,1.152809206091953e-06,0.003981410542035478,1.2548134603680754e-06,0.023481033074098812,1.7088523634359227e-06
9.08616314724,0.0038664805715,1,0.11443344422589478,9.871063840884195e-05,0.05272934239056448,0.0002200948876094016,0.061704023354793074,0.00012330450006770583
9.08867490033,0.00251175309629,1,0.2378973398796052,0.002325154250766118,0.1595753515904674,0.0020157509102493505,0.07832175078426805,0.0002993639431183043
9.09175235754,0.0030774572076,1,0.5045481247376892,0.01205220380857072,0.4174130809299617,0.013792320941081347,0.08713442255390268,0.001813268820365552
9.09479497861,0.0030426210703,1,0.8865210621146906,0.0469587751898346,0.8062539688092052,0.05145753469981403,0.08026589333352242,0.004770399001985129
9.0972406007,0.00244562209063,1,1.2532028557438073,0.1133622800497656,1.1834245235173675,0.1108629355244986,0.06977657090918844,0.001915490894331737
9.1001728726,0.00293227189317,1,1.7176462553447502,0.22804837330367053,1.6626724246056472,0.21883593190983672,0.05497135615554736,0.008058610933438301
9.10297766576,0.00280479316256,1,2.1509000872112085,0.37192943482295276,2.107690641942445,0.3516567671200539,0.0432063083544979,0.018418296383405974
9.10584923452,0.0028715687633,1,2.5571500573651664,0.5356571801570235,2.5216230986430825,0.5033448074572567,0.03552320572620841,0.029658044839090784
9.10916221317,0.00331297865317,1,2.9616707745860986,0.7285916838531787,2.9303636182959343,0.6797485222324988,0.03130279492359474,0.04525855725331101
9.11345886633,0.00429665315526,1,3.380392754560168,0.9672073653268978,3.3481684946946895,0.8874008811592871,0.03221927662378193,0.07512682250204632
9.11827275231,0.00481388597518,1,3.726015928851014,1.1792433072345057,3.68620864163496,1.0756353596001216,0.03980180082186234,0.09793563599528542
9.12427925701,0.00600650470154,1,4.020309972408685,1.3753261022036236,3.9651191691105123,1.2445654291114963,0.05518490176529519,0.12419751410849768
9.12980262883,0.00552337182315,1,4.195252139399648,1.465188475076784,4.127423960008705,1.3485386760897804,0.0678220362810495,0.10953834286281651
9.13535821113,0.00555558229817,1,4.30972129254169,1.520527826589345,4.232817207923404,1.418287491926953,0.07689778463987271,0.09476106299919275
