T final =45.0, Filters Used 2 Grad-div 0

 Time, StepSize, FilterUsed, NormU, NormP ,NormUExact, NormPExact, Uerror, Perror
0.36,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
1.44,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
2.52,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
2.88,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
3.24,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
3.96,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
4.32,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
4.68,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
5.04,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
5.76,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
6.12,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
6.48,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
6.84,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
7.56,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
7.92,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
8.28,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
8.64,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0
9.36,0.36,1,1.2399164081816514,4.317301114554796e-06,4.442865025908409,1.5625412232578508,3.2029552303763618,1.5707812229829436
9.72,0.36,1,2.5470714131057,0.4893672914564987,4.442877165788088,1.562549762382154,1.8958123653503711,1.0814225160546214
10.08,0.36,1,3.511851820411686,1.1821282087892575,4.442877177655044,1.5625497707293172,0.9310319699130944,0.3886616090925533
