T final =45.0, Filters Used 2 Grad-div 0

 Time, StepSize, FilterUsed, NormU, NormP ,NormUExact, NormPExact, Uerror, Perror
1e-06,1e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
3e-06,2e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
7e-06,4e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
1.5e-05,8e-06,1,0.0,0.0,0.0,0.0,0.0,0.0
3.1e-05,1.6e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
6.3e-05,3.2e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000127,6.4e-05,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000255,0.000128,1,0.0,0.0,0.0,0.0,0.0,0.0
0.000511,0.000256,1,0.0,0.0,0.0,0.0,0.0,0.0
0.001023,0.000512,1,0.0,0.0,0.0,0.0,0.0,0.0
0.002047,0.001024,1,0.0,0.0,0.0,0.0,0.0,0.0
0.004095,0.002048,1,0.0,0.0,0.0,0.0,0.0,0.0
0.008191,0.004096,1,0.0,0.0,0.0,0.0,0.0,0.0
0.016383,0.008192,1,0.0,0.0,0.0,0.0,0.0,0.0
0.032767,0.016384,1,0.0,0.0,0.0,0.0,0.0,0.0
0.065535,0.032768,1,0.0,0.0,0.0,0.0,0.0,0.0
0.131071,0.065536,1,0.0,0.0,0.0,0.0,0.0,0.0
0.262143,0.131072,1,0.0,0.0,0.0,0.0,0.0,0.0
0.524287,0.262144,1,0.0,0.0,0.0,0.0,0.0,0.0
1.048575,0.524288,1,0.0,0.0,0.0,0.0,0.0,0.0
2.097151,1.048576,1,0.0,0.0,0.0,0.0,0.0,0.0
4.194303,2.097152,1,0.0,0.0,0.0,0.0,0.0,0.0
8.388607,4.194304,1,0.0,0.0,0.0,0.0,0.0,0.0
8.53523027293,0.146623272925,1,0.0,0.0,0.0,0.0,0.0,0.0
8.82847681878,0.293246545851,1,0.0,0.0,0.0,0.0,0.0,0.0
8.84082628705,0.0123494682763,1,0.0,0.0,0.0,0.0,0.0,0.0
8.8655252236,0.0246989365526,1,0.0,0.0,0.0,0.0,0.0,0.0
8.91492309671,0.0493978731052,1,0.0,0.0,0.0,0.0,0.0,0.0
9.01371884292,0.0987957462103,1,0.0,0.0,0.0,0.0,0.0,0.0
9.01885543978,0.00513659686163,1,0.0,0.0,0.0,0.0,0.0,0.0
9.02912863351,0.0102731937233,1,0.0,0.0,0.0,0.0,0.0,0.0
9.04967502095,0.0205463874465,1,0.0,0.0,0.0,0.0,0.0,0.0
9.05043511471,0.000760093753908,1,0.0,0.0,0.0,0.0,0.0,0.0
9.05195530221,0.00152018750782,1,0.0,0.0,0.0,0.0,0.0,0.0
9.05499567723,0.00304037501563,1,0.0,0.0,0.0,0.0,0.0,0.0
9.06107642726,0.00608075003126,1,2.7284983339495306e-58,2.5378063208399255e-62,3.33915560582581e-60,8.826297469573258e-121,2.695106728192242e-58,2.537806320839925e-62
9.07323792732,0.0121615000625,1,1.6093005204894896e-08,7.636065872033534e-13,7.340908935626781e-10,4.2658434940897474e-20,1.535891321873051e-08,7.636065872033545e-13
9.07367661287,0.000438685546061,1,1.9405712772875374e-08,2.6042745343007695e-12,2.709096252518797e-09,5.809705467384825e-19,1.6696612488225578e-08,2.6042745342958747e-12
9.07455398396,0.000877371092121,1,6.052352869255591e-08,2.4390514782756792e-11,2.8946008727712656e-08,6.6325819099535e-17,3.157747688452172e-08,2.439051478270052e-11
9.07630872615,0.00175474218424,1,3.0694689486721e-06,9.455682504425027e-10,1.4477333087907436e-06,1.6591374937151095e-13,1.6217334851902691e-06,9.455682648663633e-10
9.07720986581,0.000901139659918,1,1.2216484252766116e-05,4.343389196269506e-09,7.572712440554962e-06,4.539501624793236e-12,4.643760542113494e-06,4.343389813097589e-09
9.07811273983,0.000902874021735,1,4.488054265962108e-05,1.6424382694162212e-08,3.2536205334444626e-05,8.379904032244044e-11,1.2344288905062241e-05,1.6424412142631135e-08
9.07876357148,0.000650831655901,1,0.00010466805467447107,3.8436933500772936e-08,8.341922517392097e-05,5.508553198195167e-10,2.1248705364095024e-05,3.843555453880305e-08
9.07930356188,0.000539990394624,1,0.00020160855980992068,7.318333797484443e-08,0.00017116295045734828,2.3191282855907668e-09,3.044535466320663e-05,7.316013382758137e-08
9.07975785082,0.000454288944424,1,0.000340094405509089,1.2097797215999295e-07,0.00030094811696868934,7.169493993015573e-09,3.914584077037406e-05,1.2081241848224756e-07
