T final =45.0, Filters Used 12 Grad-div 0

 Time, StepSize, FilterUsed, NormU, NormP ,NormUExact, NormPExact, Uerror, Perror
1e-06,1e-06,0,0.0,0.0,0.0,0.0,0.0,0.0
3e-06,2e-06,0,0.0,0.0,0.0,0.0,0.0,0.0
7e-06,4e-06,0,0.0,0.0,0.0,0.0,0.0,0.0
1.5e-05,8e-06,0,0.0,0.0,0.0,0.0,0.0,0.0
3.1e-05,1.6e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
6.3e-05,3.2e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000127,6.4e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000255,0.000128,0,0.0,0.0,0.0,0.0,0.0,0.0
0.000511,0.000256,0,0.0,0.0,0.0,0.0,0.0,0.0
0.001023,0.000512,0,0.0,0.0,0.0,0.0,0.0,0.0
0.002047,0.001024,0,0.0,0.0,0.0,0.0,0.0,0.0
0.004095,0.002048,0,0.0,0.0,0.0,0.0,0.0,0.0
0.008191,0.004096,0,0.0,0.0,0.0,0.0,0.0,0.0
0.016383,0.008192,0,0.0,0.0,0.0,0.0,0.0,0.0
0.032767,0.016384,0,0.0,0.0,0.0,0.0,0.0,0.0
0.065535,0.032768,0,0.0,0.0,0.0,0.0,0.0,0.0
0.131071,0.065536,0,0.0,0.0,0.0,0.0,0.0,0.0
0.262143,0.131072,0,0.0,0.0,0.0,0.0,0.0,0.0
0.524287,0.262144,0,0.0,0.0,0.0,0.0,0.0,0.0
1.048575,0.524288,0,0.0,0.0,0.0,0.0,0.0,0.0
2.097151,1.048576,0,0.0,0.0,0.0,0.0,0.0,0.0
4.194303,2.097152,0,0.0,0.0,0.0,0.0,0.0,0.0
8.388607,4.194304,0,0.0,0.0,0.0,0.0,0.0,0.0
16.777215,8.388608,1,2.5157744603721466,6.756337827916028e-06,4.442877177655044,1.5625497707293172,1.9271093299507933,1.5707898155377495
22.1632461021,5.38603110213,1,1.3148696830901045,1.3580451215467364,0.0,0.0,1.3148696830901043,1.3580451215467364
27.3575357733,5.19428967114,0,0.11545511008766592,0.0019544361110213943,0.0,0.0,0.1154551100876659,0.001954436111021394
37.7461151155,10.3885793423,1,1.6331484055230716,0.41490077994323454,4.442877177655044,1.5625497707293172,2.8097353847999558,1.1558890359372365
45.0,7.25388488447,0,0.10531162358423761,0.5770669566113221,0.0,0.0,0.10531162358423758,0.577066956611322
END
tolerance, l2L2 error, l2H1 error, l2L2 Pressure error, 	Number Of Rejections, Starting Step Size, Elapsed Time
1.0,0.57519638918,NOT CALCULATED,1.01172288438,1,1e-06,54.63130736351013
