T final =1, Filters Used 1

 Time, StepSize, FilterUsed, NormU, NormP ,NormUExact, NormPExact, Uerror, Perror
0.00625,0.00625,0,4.388033373127271,1.5707965897262297,4.387686870973032,1.5239702794299015,0.0003399802628143538,0.038789744884503555
0.0125,0.00625,0,4.333860121558449,1.5322512200058722,4.333182149291425,1.4863433191645707,0.0006715275151291723,0.03806975710838286
0.01875,0.00625,0,4.280355675564644,1.494651411732348,4.279354496136578,1.4496453718582984,0.000994813172610725,0.037361420344004824
0.025,0.00625,0,4.227511778287805,1.4579742478538888,4.226195500828163,1.4138535000993968,0.0013099895025197824,0.03666487439080037
0.03125,0.00625,0,4.175320274805525,1.4221971020115047,4.173696857165014,1.3789453328028918,0.0016172073286246126,0.03597998186192678
0.0375,0.00625,0,4.1237731108733975,1.3872978894462502,4.12185036212725,1.3448990512278682,0.0019166152743585818,0.03530659179469505
0.04375,0.00625,0,4.072862331682129,1.353255066641564,4.070647914594541,1.3116933753400406,0.0022083595918976676,0.03464455292520123
0.05,0.00625,0,4.02258008062996,1.3200476187004906,4.020081514080283,1.2793075505110423,0.0024925841424848303,0.033993714432725905
0.05625,0.00625,0,3.9729185981102075,1.287655046407518,3.9701432594815143,1.2477213345461058,0.0027694304144331586,0.03335392604212954
0.0625,0.00625,0,3.923870220313804,1.2560573535761193,3.9208253478443607,1.2169149850320358,0.0030390375523364054,0.032725038090140525
0.06875,0.00625,0,3.8754273780466146,1.22523503470505,3.8721200731447953,1.1868692469975555,0.0033015423900277325,0.032106901586370015
0.075,0.00625,0,3.827582595561335,1.1951690629374288,3.824019825084545,1.157565340878319,0.0035570794847799288,0.031499368270845096
0.08125,0.00625,0,3.7803284894038502,1.1658408783153122,3.776517087901991,1.1289849507790803,0.003805781151806214,0.03090229066831936
0.0875,0.00625,0,3.7336577672737916,1.1372323763225176,3.729604439197807,1.1011102130256567,0.0040477774986379675,0.03031552213949746
